#LVM II					at equilibrium	
#t	X0=2	Y0=1.3	X0=0.5	Y0=0.5	x	y
87	1.098966	1.201124	0.284463	1.965961	1	1.9
87.5	1.137185	1.208233	0.285037	1.896888	1	1.9
88	1.176018	1.217728	0.286581	1.830339	1	1.9
88.5	1.215288	1.229697	0.289072	1.766303	1	1.9
89	1.25479	1.244233	0.292498	1.704759	1	1.9
89.5	1.294294	1.261431	0.296852	1.64568	1	1.9
90	1.33354	1.281389	0.302136	1.589031	1	1.9
90.5	1.37224	1.304202	0.30836	1.534774	1	1.9
91	1.41008	1.329967	0.315537	1.482865	1	1.9
91.5	1.446719	1.35877	0.32369	1.433262	1	1.9
92	1.481793	1.39069	0.332844	1.385917	1	1.9
92.5	1.514919	1.425791	0.343033	1.340784	1	1.9
93	1.545697	1.464117	0.354294	1.297816	1	1.9
93.5	1.573722	1.505689	0.366671	1.256968	1	1.9
94	1.598587	1.550492	0.380211	1.218194	1	1.9
94.5	1.619895	1.598474	0.394969	1.181452	1	1.9
95	1.637268	1.649539	0.411002	1.146699	1	1.9
95.5	1.650359	1.703534	0.428372	1.113899	1	1.9
96	1.658866	1.760249	0.447148	1.083015	1	1.9
96.5	1.66254	1.819408	0.4674	1.054014	1	1.9
97	1.661202	1.880666	0.489204	1.026869	1	1.9
97.5	1.654748	1.943608	0.51264	1.001555	1	1.9
98	1.643161	2.00775	0.537788	0.978051	1	1.9
98.5	1.626515	2.072545	0.564735	0.956344	1	1.9
99	1.604977	2.137388	0.593567	0.936423	1	1.9
99.5	1.578805	2.20163	0.624372	0.918284	1	1.9
100	1.548345	2.26459	0.657237	0.901931	1	1.9
100.5	1.514016	2.325576	0.69225	0.887374	1	1.9
101	1.4763	2.383902	0.729494	0.87463	1	1.9
101.5	1.435728	2.438908	0.769049	0.863725	1	1.9
102	1.392862	2.489977	0.810988	0.854696	1	1.9
102.5	1.348272	2.536557	0.855374	0.847588	1	1.9
103	1.302527	2.578174	0.902261	0.842459	1	1.9
103.5	1.256175	2.614441	0.951683	0.839379	1	1.9
104	1.209727	2.645069	1.00366	0.838434	1	1.9
104.5	1.163652	2.669869	1.058186	0.839722	1	1.9
105	1.118366	2.688748	1.115225	0.843362	1	1.9
105.5	1.074228	2.701711	1.174711	0.849489	1	1.9
106	1.031537	2.708846	1.236534	0.858259	1	1.9
106.5	0.990539	2.710321	1.30054	0.869853	1	1.9
107	0.95142	2.706369	1.366521	0.884474	1	1.9
107.5	0.91432	2.697277	1.434204	0.902352	1	1.9
108	0.879331	2.683374	1.503251	0.923745	1	1.9
108.5	0.846508	2.665021	1.573242	0.94894	1	1.9
109	0.815873	2.642598	1.643674	0.978253	1	1.9
109.5	0.787418	2.616495	1.713952	1.012027	1	1.9
110	0.761116	2.587107	1.783384	1.050634	1	1.9
110.5	0.736922	2.554822	1.851175	1.094466	1	1.9
111	0.714779	2.520019	1.916431	1.143929	1	1.9
111.5	0.69462	2.483064	1.978163	1.199435	1	1.9
112	0.676375	2.444304	2.035293	1.261383	1	1.9
112.5	0.659969	2.404066	2.086678	1.33014	1	1.9
113	0.645327	2.362657	2.131129	1.406017	1	1.9
113.5	0.632377	2.32036	2.16745	1.489234	1	1.9
114	0.621046	2.277439	2.194481	1.579883	1	1.9
114.5	0.611268	2.234132	2.21115	1.67789	1	1.9
115	0.602977	2.19066	2.216537	1.782965	1	1.9
115.5	0.596117	2.147221	2.209933	1.894567	1	1.9
116	0.590631	2.103994	2.190906	2.011868	1	1.9
116.5	0.58647	2.061141	2.159358	2.133731	1	1.9
117	0.583591	2.018805	2.115555	2.258712	1	1.9
117.5	0.581955	1.977116	2.060152	2.385083	1	1.9
118	0.581526	1.936189	1.994182	2.510881	1	1.9
118.5	0.582275	1.896124	1.919011	2.633987	1	1.9
119	0.584176	1.857011	1.836275	2.752222	1	1.9
119.5	0.587209	1.818929	1.747789	2.863459	1	1.9
120	0.591355	1.781949	1.655447	2.96573	1	1.9
120.5	0.596602	1.74613	1.561123	3.05733	1	1.9
121	0.602939	1.711527	1.466573	3.136891	1	1.9
121.5	0.610358	1.678187	1.373367	3.20343	1	1.9
122	0.618854	1.646151	1.282837	3.256372	1	1.9
122.5	0.628426	1.615456	1.196049	3.295534	1	1.9
123	0.639071	1.586135	1.113802	3.321094	1	1.9
123.5	0.650791	1.558217	1.036642	3.333536	1	1.9
124	0.663587	1.531729	0.964889	3.333587	1	1.9
124.5	0.677462	1.506696	0.898671	3.322158	1	1.9
125	0.692418	1.48314	0.837964	3.300282	1	1.9
125.5	0.708456	1.461084	0.782627	3.269054	1	1.9
126	0.725579	1.44055	0.732433	3.229593	1	1.9
126.5	0.743784	1.42156	0.687102	3.183003	1	1.9
127	0.763068	1.404135	0.64632	3.130342	1	1.9
127.5	0.783427	1.388299	0.609758	3.07261	1	1.9
128	0.804849	1.374077	0.57709	3.010731	1	1.9
128.5	0.827321	1.361493	0.547996	2.945551	1	1.9
129	0.850822	1.350576	0.522174	2.877832	1	1.9
129.5	0.875326	1.341356	0.499341	2.808254	1	1.9
130	0.9008	1.333864	0.479238	2.737422	1	1.9
130.5	0.927202	1.328136	0.461629	2.665865	1	1.9
131	0.95448	1.324208	0.446302	2.594043	1	1.9
131.5	0.982572	1.322122	0.433066	2.522356	1	1.9
132	1.011405	1.321919	0.421752	2.451147	1	1.9
132.5	1.040893	1.323645	0.412213	2.380709	1	1.9
133	1.070936	1.327348	0.404319	2.311288	1	1.9
133.5	1.10142	1.333078	0.397958	2.243093	1	1.9
134	1.132215	1.340886	0.393032	2.176297	1	1.9
134.5	1.163176	1.350824	0.389459	2.111042	1	1.9
135	1.194139	1.362945	0.387169	2.047443	1	1.9
135.5	1.224927	1.377301	0.386106	1.985595	1	1.9
136	1.255343	1.39394	0.386221	1.92557	1	1.9
136.5	1.285176	1.412909	0.387478	1.867424	1	1.9
137	1.3142	1.434245	0.389848	1.811198	1	1.9
137.5	1.342175	1.457981	0.393313	1.756921	1	1.9
138	1.368849	1.484138	0.397859	1.704612	1	1.9
138.5	1.393963	1.512724	0.403482	1.654282	1	1.9
139	1.417253	1.543728	0.410182	1.605931	1	1.9
139.5	1.438454	1.577123	0.417967	1.559559	1	1.9
140	1.457305	1.612856	0.426849	1.515157	1	1.9
140.5	1.473554	1.650848	0.436847	1.472713	1	1.9
141	1.486965	1.690991	0.447983	1.432215	1	1.9
141.5	1.497325	1.73314	0.460286	1.393647	1	1.9
142	1.504446	1.777118	0.473785	1.356993	1	1.9
142.5	1.508178	1.822708	0.488518	1.322235	1	1.9
143	1.508409	1.869652	0.504522	1.289358	1	1.9
143.5	1.505073	1.917658	0.521841	1.258345	1	1.9
144	1.498153	1.966391	0.540517	1.229184	1	1.9
144.5	1.487684	2.015487	0.560599	1.201863	1	1.9
145	1.473755	2.064547	0.582134	1.176372	1	1.9
145.5	1.456508	2.113152	0.605173	1.152705	1	1.9
146	1.436132	2.160867	0.629765	1.13086	1	1.9
146.5	1.412866	2.207247	0.655958	1.110838	1	1.9
147	1.386988	2.251851	0.683803	1.092645	1	1.9
147.5	1.358806	2.29425	0.713342	1.076293	1	1.9
148	1.328656	2.334039	0.744619	1.061799	1	1.9
148.5	1.296889	2.370841	0.777669	1.049186	1	1.9
149	1.263862	2.404322	0.812522	1.038484	1	1.9
149.5	1.229932	2.434195	0.849198	1.02973	1	1.9
150	1.195445	2.460223	0.887707	1.022972	1	1.9
150.5	1.160731	2.482229	0.928045	1.018263	1	1.9
151	1.126097	2.500089	0.970194	1.015668	1	1.9
151.5	1.091824	2.513742	1.014116	1.015262	1	1.9
152	1.058163	2.523178	1.05975	1.017132	1	1.9
152.5	1.025334	2.52844	1.107012	1.021374	1	1.9
153	0.993524	2.529621	1.155787	1.028101	1	1.9
153.5	0.962891	2.526853	1.205929	1.037434	1	1.9
154	0.93356	2.520306	1.257255	1.049513	1	1.9
154.5	0.90563	2.510179	1.309541	1.064486	1	1.9
155	0.879175	2.496695	1.362518	1.08252	1	1.9
155.5	0.854246	2.480096	1.415871	1.103791	1	1.9
156	0.830874	2.460633	1.469232	1.128488	1	1.9
156.5	0.809072	2.438567	1.522181	1.156811	1	1.9
157	0.788842	2.414161	1.574243	1.188964	1	1.9
157.5	0.770173	2.387677	1.62489	1.225155	1	1.9
158	0.753045	2.359371	1.673543	1.265589	1	1.9
158.5	0.73743	2.329493	1.719574	1.31046	1	1.9
159	0.723298	2.298284	1.762317	1.35994	1	1.9
159.5	0.710612	2.265974	1.80108	1.414171	1	1.9
160	0.699335	2.23278	1.835155	1.473249	1	1.9
