#LVM I						
#t	X0=2	Y0=1.3	X0=1.5	Y0=1.5	X0=1.0	Y0=1.5
73	0.325425	1.727963	0.537615	1.791642	0.695698	2.270769
73.5	0.330357	1.670852	0.543801	1.750958	0.686938	2.235979
74	0.336302	1.616068	0.551158	1.711777	0.679477	2.200829
74.5	0.343273	1.563584	0.559688	1.674138	0.673282	2.165493
75	0.35129	1.513372	0.569399	1.638073	0.668325	2.13013
75.5	0.360378	1.465399	0.580301	1.603611	0.664576	2.094889
76	0.370568	1.419631	0.592407	1.570777	0.66201	2.059906
76.5	0.381898	1.376031	0.605734	1.539594	0.660603	2.025306
77	0.394413	1.334566	0.620302	1.510083	0.660332	1.991204
77.5	0.408161	1.2952	0.636131	1.482263	0.661177	1.957704
78	0.423199	1.2579	0.653244	1.456155	0.663123	1.924903
78.5	0.439588	1.222634	0.671665	1.431777	0.666153	1.892887
79	0.457394	1.189373	0.691418	1.409152	0.670254	1.861735
79.5	0.476691	1.15809	0.712525	1.388301	0.675417	1.83152
80	0.497554	1.128762	0.73501	1.36925	0.681631	1.802308
80.5	0.520068	1.10137	0.758892	1.352027	0.68889	1.774159
81	0.544319	1.0759	0.784189	1.336663	0.697187	1.747129
81.5	0.5704	1.052341	0.810914	1.323193	0.706518	1.72127
82	0.598406	1.030691	0.839074	1.311657	0.716879	1.696629
82.5	0.628437	1.010951	0.86867	1.302101	0.728265	1.673249
83	0.660596	0.993132	0.899694	1.294575	0.740673	1.651174
83.5	0.694985	0.977251	0.932129	1.289136	0.7541	1.630443
84	0.73171	0.963335	0.965944	1.285848	0.76854	1.611094
84.5	0.770873	0.95142	1.001095	1.284782	0.783987	1.593165
85	0.812575	0.941553	1.037521	1.286016	0.800432	1.576692
85.5	0.856911	0.933795	1.075142	1.289637	0.817865	1.561711
86	0.903967	0.928219	1.113857	1.295739	0.836273	1.54826
86.5	0.953819	0.924913	1.15354	1.304425	0.855637	1.536375
87	1.006528	0.923986	1.194039	1.315806	0.875934	1.526093
87.5	1.062132	0.925562	1.235169	1.329998	0.897137	1.517454
88	1.120647	0.92979	1.276718	1.347125	0.919213	1.510498
88.5	1.182052	0.936841	1.318434	1.367319	0.942118	1.505265
89	1.24629	0.946917	1.360031	1.39071	0.965805	1.501799
89.5	1.313252	0.960245	1.401185	1.417433	0.990213	1.500145
90	1.382769	0.97709	1.441532	1.447618	1.015276	1.500347
90.5	1.454604	0.997751	1.480673	1.48139	1.040914	1.502453
91	1.528434	1.022568	1.51817	1.518859	1.067034	1.50651
91.5	1.603841	1.051922	1.553557	1.560119	1.093534	1.512567
92	1.680295	1.086237	1.58634	1.605238	1.120295	1.520674
92.5	1.75714	1.125981	1.616008	1.654245	1.147186	1.530876
93	1.833583	1.171666	1.642042	1.707127	1.174061	1.543221
93.5	1.908681	1.223837	1.66393	1.763816	1.200759	1.557751
94	1.981335	1.283068	1.681183	1.824175	1.227104	1.574506
94.5	2.050284	1.349943	1.693348	1.88799	1.252906	1.593519
95	2.114121	1.425036	1.70003	1.954962	1.277962	1.614814
95.5	2.171306	1.508874	1.700913	2.024695	1.302057	1.638408
96	2.220203	1.601899	1.695773	2.096694	1.324967	1.664302
96.5	2.259133	1.704408	1.684498	2.170362	1.346458	1.692485
97	2.286445	1.816496	1.667101	2.245009	1.366293	1.722926
97.5	2.300611	1.937974	1.643722	2.319854	1.384235	1.755574
98	2.300331	2.068304	1.614639	2.39405	1.400051	1.790352
98.5	2.284649	2.206526	1.580252	2.466696	1.413514	1.827158
99	2.253067	2.351206	1.541079	2.536872	1.424415	1.865858
99.5	2.205636	2.500426	1.497734	2.60366	1.432562	1.906286
100	2.143014	2.6518	1.450906	2.666181	1.43779	1.948244
100.5	2.066478	2.802552	1.401328	2.723623	1.439964	1.991494
101	1.977867	2.949645	1.349754	2.775266	1.438988	2.035766
101.5	1.879479	3.089947	1.29693	2.820509	1.434806	2.080754
102	1.773914	3.220424	1.24357	2.858882	1.427406	2.126121
102.5	1.663896	3.338332	1.190332	2.890058	1.416824	2.1715
103	1.552091	3.441382	1.137808	2.913852	1.403143	2.216501
103.5	1.440947	3.52786	1.08651	2.930221	1.386497	2.260719
104	1.332573	3.596691	1.036867	2.93925	1.367061	2.303738
104.5	1.228671	3.647433	0.989223	2.941142	1.345053	2.345142
105	1.130509	3.680237	0.943842	2.936196	1.320727	2.384524
105.5	1.038937	3.695754	0.900913	2.924791	1.294366	2.421494
106	0.954434	3.695031	0.860557	2.90737	1.266275	2.455689
106.5	0.877168	3.679397	0.822841	2.884417	1.236771	2.48678
107	0.807064	3.650358	0.787783	2.856444	1.20618	2.514481
107.5	0.743865	3.609504	0.75536	2.823974	1.174822	2.538552
